Ticker,Measure,Mnemonic,Period,Value,Formula (reference),parsed_value,category
CENTA,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2018,0,"CIQ(""CENTA"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2018"")",,zero_as_na
CENTA,Revenue Low,IQ_REVENUE_LOW_GUIDANCE,FY2019,2303.97648,"CIQ(""CENTA"",""IQ_REVENUE_LOW_GUIDANCE"",""FY2019"")",2303.97648,number
CENTA,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2014,0,"CIQ(""CENTA"",""IQ_EBITDA_GUIDANCE"",""FY2014"")",,zero_as_na
CENTA,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2015,0,"CIQ(""CENTA"",""IQ_EBITDA_GUIDANCE"",""FY2015"")",,zero_as_na
CENTA,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2016,0,"CIQ(""CENTA"",""IQ_EBITDA_GUIDANCE"",""FY2016"")",,zero_as_na
CENTA,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2017,0,"CIQ(""CENTA"",""IQ_EBITDA_GUIDANCE"",""FY2017"")",,zero_as_na
CENTA,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2018,0,"CIQ(""CENTA"",""IQ_EBITDA_GUIDANCE"",""FY2018"")",,zero_as_na
CENTA,EBITDA (point),IQ_EBITDA_GUIDANCE,FY2019,223.12 - 227.41,"CIQ(""CENTA"",""IQ_EBITDA_GUIDANCE"",""FY2019"")",225.265,range
CENX,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2014,0,"CIQ(""CENX"",""IQ_EPS_EXCL_GUIDANCE"",""FY2014"")",,zero_as_na
CENX,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2015,0,"CIQ(""CENX"",""IQ_EPS_EXCL_GUIDANCE"",""FY2015"")",,zero_as_na
CENX,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2016,0,"CIQ(""CENX"",""IQ_EPS_EXCL_GUIDANCE"",""FY2016"")",,zero_as_na
CENX,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2017,0,"CIQ(""CENX"",""IQ_EPS_EXCL_GUIDANCE"",""FY2017"")",,zero_as_na
CENX,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2018,0,"CIQ(""CENX"",""IQ_EPS_EXCL_GUIDANCE"",""FY2018"")",,zero_as_na
CENX,EPS Excl. Excep/GW (point),IQ_EPS_EXCL_GUIDANCE,FY2019,0,"CIQ(""CENX"",""IQ_EPS_EXCL_GUIDANCE"",""FY2019"")",,zero_as_na
